Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Moses Alexander,CB,Kilgore J.C.,Kilgore,TX,"
                6",2 ," 190
            ",0.8769,Illinois,2022,8.0,3.0,1.0,3,Houston,//247sports.com/player/moses-alexander-46118255
Jaylen Lewis,CB,Haywood,Brownsville,TN,"
                6",0 ," 175
            ",0.8763,Illinois,2022,570.0,53.0,18.0,3,Arkansas,//247sports.com/player/jaylen-lewis-46108947
Mansoor Delane,CB,Archbishop Spalding,Severn,MD,"
                6",1 ," 178
            ",0.871,Illinois,2022,661.0,60.0,15.0,3,Virginia Tech,//247sports.com/player/mansoor-delane-46110656
Elijah Mc-Cantos,CB,Edison,Miami,FL,"
                6",0 ," 170
            ",0.8696,Illinois,2022,702.0,68.0,97.0,3,Illinois,//247sports.com/player/elijah-mc-cantos-46098947
Patrick Body Jr,CB,Gateway,Monroeville,PA,"
                6",1 ," 183
            ",0.8519,Illinois,2022,,104.0,24.0,3,Cincinnati,//247sports.com/player/patrick-body-jr-46103410
Elijah Reed,CB,Pleasure Ridge Park,Louisville,KY,"
                6",3 ," 180
            ",0.8486,Illinois,2022,,111.0,12.0,3,Kentucky,//247sports.com/player/elijah-reed-46118281
Rodney Johnson,CB,Gadsden City,Gadsden,AL,"
                5",11 ," 160
            ",0.8466,Illinois,2022,,117.0,54.0,3,,//247sports.com/player/rodney-johnson-46114023
Jayden Lawton,CB,Lovejoy,Lucas,TX,"
                6",2 ," 175
            ",0.8451,Illinois,2022,,124.0,193.0,3,SMU,//247sports.com/player/jayden-lawton-46128275
Xavier Scott,CB,Dwyer,Palm Beach Gardens,FL,"
                6",0 ," 180
            ",0.8431,Illinois,2022,,128.0,179.0,3,Illinois,//247sports.com/player/xavier-scott-46113009
Da'Quan Gonzales,CB,The Loomis Chaffee School,Windsor,CT,"
                5",10.5 ," 173
            ",0.8326,Illinois,2022,,140.0,7.0,3,,//247sports.com/player/daquan-gonzales-46085171
Xavier Nwankpa,S,Southeast Polk,Des Moines,IA,"
                6",2 ," 200
            ",0.9773,Illinois,2022,53.0,5.0,1.0,4,Iowa,//247sports.com/player/xavier-nwankpa-46086140
Isaac Thompson,S,St. Louis University,Saint Louis,MO,"
                6",2 ," 205
            ",0.9205,Illinois,2022,201.0,15.0,5.0,4,Missouri,//247sports.com/player/isaac-thompson-46058605
JaCorey Thomas,S,Boone,Orlando,FL,"
                6",1 ," 188
            ",0.8958,Illinois,2022,328.0,27.0,38.0,4,Georgia,//247sports.com/player/jacorey-thomas-46098685
Anthony Rose,S,Miami Central,Miami,FL,"
                6",3 ," 180
            ",0.8883,Illinois,2022,409.0,35.0,52.0,3,South Carolina,//247sports.com/player/anthony-rose-46112820
Jordan Allen,S,Lafayette Christian Academy,Lafayette,LA,"
                5",11 ," 182
            ",0.8851,Illinois,2022,438.0,38.0,19.0,3,LSU,//247sports.com/player/jordan-allen-46098576
Austin Brown,S,Johnston City,Johnston City,IL,"
                6",1 ," 195
            ",0.8829,Illinois,2022,462.0,42.0,8.0,3,Wisconsin,//247sports.com/player/austin-brown-46103144
Anthony Brown,S,Milan,Milan,TN,"
                6",0 ," 185
            ",0.8776,Illinois,2022,553.0,49.0,17.0,3,Arkansas,//247sports.com/player/anthony-brown-46103613
Trevon Howard,S,IMG Academy,Bradenton,FL,"
                6",1 ," 200
            ",0.8755,Illinois,2022,581.0,50.0,78.0,3,Iowa State,//247sports.com/player/trevon-howard-46080226
Demari Henderson,S,Seminole,Sanford,FL,"
                6",0 ," 161
            ",0.8734,Illinois,2022,622.0,55.0,84.0,3,UCF,//247sports.com/player/demari-henderson-46076733
Pierre Goree,S,Duncanville,Duncanville,TX,"
                6",1 ," 220
            ",0.8722,Illinois,2022,634.0,57.0,93.0,3,SMU,//247sports.com/player/pierre-goree-46099526
Wesley Miller,S,Heritage Academy,Columbus,MS,"
                5",10.5 ," 184
            ",0.8647,Illinois,2022,812.0,66.0,22.0,3,Mississippi State,//247sports.com/player/wesley-miller-46114188
Elijah Davis,S,Auburndale,Auburndale,FL,"
                6",1 ," 165
            ",0.8643,Illinois,2022,822.0,67.0,109.0,3,Utah,//247sports.com/player/elijah-davis-46098835
Clayton Powell-Lee,S,Westlake,Atlanta,GA,"
                6",2 ," 170
            ",0.8527,Illinois,2022,,86.0,113.0,3,Georgia Tech,//247sports.com/player/clayton-powell-lee-46113808
Devin Turner,S,Lone Star,Frisco,TX,"
                6",2 ," 190
            ",0.8519,Illinois,2022,,88.0,162.0,3,Northwestern,//247sports.com/player/devin-turner-46112832
Solomon Buchanan,S,Gila River Community,Globe,AZ,"
                6",2 ," 225
            ",0.8431,Illinois,2022,46.0,8.0,1.0,3,,//247sports.com/player/solomon-buchanan-46053448
Corey Lambert Jr.,S,Brother Martin,New Orleans,LA,"
                5",11 ," 195
            ",0.8431,Illinois,2022,,109.0,54.0,3,Colorado State,//247sports.com/player/corey-lambert-jr-46112012
TJ Griffin,S,Amos Alonzo Stagg,Palos Hills,IL,"
                6",2 ," 190
            ",0.8336,Illinois,2022,,122.0,33.0,3,Illinois,//247sports.com/player/tj-griffin-46128299
Matthew Bailey,S,Moline Sr,Moline,IL,"
                6",2 ," 190
            ",0.8269,Illinois,2022,,130.0,36.0,3,Illinois,//247sports.com/player/matthew-bailey-46116828
Camari Berry,S,Lakewood,Saint Petersburg,FL,"
                5",10 ," 165
            ",,Illinois,2022,,,,0,Cornell,//247sports.com/player/camari-berry-46112763
Keyshawn Abreu,S,Leuzinger,Lawndale,CA,"
                6",0 ," 180
            ",,Illinois,2022,,,,0,,//247sports.com/player/keyshawn-abreu-46116414
Justice Ugo,S,Blinn College,Brenham,TX,"
                6",3 ," 186
            ",,Illinois,2022,,,,0,Houston,//247sports.com/player/justice-ugo-46099834
Chris Graves,ATH,Bishop Verot,Fort Myers,FL,"
                6",1 ," 175
            ",0.9365,Illinois,2022,161.0,7.0,20.0,4,Miami,//247sports.com/player/chris-graves-46111763
Alex Afari,ATH,Lakota West,West Chester,OH,"
                6",2 ," 195
            ",0.9021,Illinois,2022,284.0,12.0,11.0,4,Kentucky,//247sports.com/player/alex-afari-46098805
Jaden Mangham,ATH,Wylie E. Groves,Franklin,MI,"
                6",3 ," 185
            ",0.9,Illinois,2022,297.0,13.0,6.0,4,Michigan State,//247sports.com/player/jaden-mangham-46057193
Kody Jones,ATH,Germantown,Germantown,TN,"
                5",11 ," 175
            ",0.8958,Illinois,2022,335.0,14.0,10.0,4,Michigan,//247sports.com/player/kody-jones-46094719
Kye Stokes,ATH,Armwood,Seffner,FL,"
                6",2 ," 185
            ",0.8933,Illinois,2022,361.0,16.0,44.0,4,Ohio State,//247sports.com/player/kye-stokes-46111680
