Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Jaren Kanak,ATH,Hays,Hays,KS,6,2.0,210,0.9379,Alabama,2022,156.0,6.0,1.0,4,Oklahoma,//247sports.com/player/jaren-kanak-46102946
Antonio Kite,ATH,Anniston,Anniston,AL,6,1.0,180,0.9337,Alabama,2022,167.0,8.0,9.0,4,Alabama,//247sports.com/player/antonio-kite-46110665
Jaden Mangham,ATH,Wylie E. Groves,Franklin,MI,6,3.0,185,0.9,Alabama,2022,297.0,13.0,6.0,4,Michigan State,//247sports.com/player/jaden-mangham-46057193
Kye Stokes,ATH,Armwood,Seffner,FL,6,2.0,185,0.8933,Alabama,2022,361.0,16.0,44.0,4,Ohio State,//247sports.com/player/kye-stokes-46111680
Omari Kelly,ATH,Hewitt-Trussville,Trussville,AL,6,2.0,180,0.8925,Alabama,2022,366.0,18.0,16.0,4,Auburn,//247sports.com/player/omari-kelly-46084955
Mac Chiumento,P,Seabreeze,Daytona Beach,FL,6,4.0,205,,Alabama,2022,,,,0,Florida State,//247sports.com/player/mac-chiumento-46117660
Ty Simpson,QB,Westview,Martin,TN,6,2.0,200,0.9883,Alabama,2022,26.0,3.0,2.0,5,Alabama,//247sports.com/player/ty-simpson-46056473
Walker Howard,QB,St. Thomas More,Lafayette,LA,6,1.0,195,0.981,Alabama,2022,41.0,5.0,4.0,4,LSU,//247sports.com/player/walker-howard-46058715
Gunner Stockton,QB,Rabun County,Tiger,GA,6,1.0,220,0.9506,Alabama,2022,124.0,7.0,12.0,4,Georgia,//247sports.com/player/gunner-stockton-46059056
Maalik Murphy,QB,Junipero Serra,Gardena,CA,6,4.5,225,0.9293,Alabama,2022,177.0,12.0,13.0,4,Texas,//247sports.com/player/maalik-murphy-46079369
Tanner Bailey,QB,Gordo,Gordo,AL,6,1.0,195,0.9154,Alabama,2022,218.0,14.0,11.0,4,South Carolina,//247sports.com/player/tanner-bailey-46081988
Braden Davis,QB,Middletown,Middletown,DE,6,5.0,195,0.8896,Alabama,2022,390.0,23.0,1.0,3,South Carolina,//247sports.com/player/braden-davis-46081684
